ĀQ	阿Q
yīyàng-húlu	依样葫芦
yídòng/diànhuà	移动电话
yínán/zázhèng	疑难杂症
yǐpiān-gàiquán	以偏概全
yǐrén-fèiyán	以人废言
yǐrén-wéiběn	以人为本
yǐtāng-wòxuě	以汤沃雪
"yǐyǎn-huányǎn	yǐyá-huányá"	以眼还眼，以牙还牙
"yǐzizhīmáo	gōngzizhīdùn"	以子之矛，攻子之盾
yín'é	吟哦
yín'ěr	银耳
yòuzǐ	幼子
yuánhuā	芫花
yuán'é	员额
yuánlái-rúcǐ	原来如此
yuèzhī	月氏
zéshé	咋舌
zhělí	啫喱
zhízhú	蹢躅
zhóuli	妯娌
zhuǎn'ānméi	转氨酶
zuór	昨儿
àiren	爱人
àndìlǐ	暗地里
bāge	八哥
bābudé	巴不得
bājie	巴结
Bālí Gōngshè	巴黎公社
bālɑ	扒拉
báshou	把手
báijing	白净
bǎibù	摆布
bàngchui	棒槌
bāofu	包袱
bāohán	包涵
bàochou	报酬
bèifen	辈分
bǐfɑng	比方
biǎndɑn	扁担
biàndɑng	便当
biēmen	憋闷
bièniu	别扭
bōlɑ	拨拉
bōnong	拨弄
bòji	簸箕
bǔding	补丁
bùshi	不是
cáizhu	财主
cāngying	苍蝇
chāishi/chàshì	差事
cháihuo	柴火
chānhuo	搀和
chànyou	颤悠
chángchu	长处
chēnghu	称呼
chōudɑ	抽搭
chōuti	抽屉
chūluo	出落
chūxi	出息
chuānghu	窗户
cìwei	刺猬
còuhe	凑合
cuòchu	错处
dālɑ	耷拉
dāli	搭理
dāying	答应
dǎbɑn	打扮
dǎdiɑn	打点
dǎfɑ	打发
dǎting	打听
dānge	耽搁
dānwu	耽误
dáolɑo	叨唠
dǎoteng	倒腾
dàoshi	道士
dēnglong	灯笼
dígu	嘀咕
dǐxiɑ	底下
dìxiong	弟兄
diǎnbo	点拨
diǎnxin	点心
dōngbiɑn	东边
dòngjing	动静
dōudu	兜肚
dǒupeng	斗篷
dòufu	豆腐
dūlu	嘟噜
duìwu	队伍
duìfu	对付
ěxin	恶心
ěrduo	耳朵
fēngzheng	风筝
fèngcheng	奉承
fúsheu	扶手
fúfen	福分
fúqi	福气
fùyu	富余
gānbɑ	干巴
gànshi	干事
gānzhe	甘蔗
gāoliɑng	高粱
gāoyɑo	膏药
gàoshi	告示
gēbei	胳臂
gēbo	胳膊
gōngfu	工夫
gōngqiɑn	工钱
gōngjiɑ	公家
gōngfu	功夫
gōudɑ	勾搭
gūmo	估摸
gūniɑng	姑娘
guǎfu	寡妇
guàibude	怪不得
guānsi	官司
guāncɑi	棺材
guīzhi	归置
guīju	规矩
guīnü	闺女
hāqiɑn	哈欠
hánhu	含糊
hánchen	寒碜
hétong	合同
héqi	和气
héshɑng	和尚
hétɑo	核桃
hòubiɑn	后边
hòumiɑn	后面
hòudɑo	厚道
hòushɑ	厚实
húli	狐狸
húqin	胡琴
húlu	葫芦
hútu	糊涂
hùshi	护士
huāshɑo	花哨
háishi	还是
huángguā	黄瓜
huàngdɑng	晃荡
huàngyou	晃悠
huōchuqu	豁出去
huófɑn	活泛
huóji	活计
huópo	活泼
huǒji	伙计
jīgu	叽咕
jīhuɑng	饥荒
jīling	机灵
jǐliɑng	脊梁
jìhɑo	记号
jìxing	记性
jìdu	忌妒
jiàqiɑn	价钱
jiàshi	架势
jiàzhuɑng	嫁妆
jiānxi	奸细
jiānbing	煎饼
jiànshi	见识
jiāngsheng	缰绳
jiǎngjiu	讲究
jiāoqing	交情
jiāonen	娇嫩
jiàohuɑn	叫唤
jiēfɑng	街坊
jiéqi	节气
jiēbɑ	结巴
jiēshi	结实
jiěfu	姐夫
jièzhi	戒指
jièmo	芥末
jìnxiɑng	进项
jiùying	救应
jiùmi	舅母
kēdɑ	磕打
késou	咳嗽
kūlong	窟窿
kuàidɑng	快当
kuàihuo	快活
kuānchɑng	宽敞
kùnnɑn	困难
kuòchuo	阔绰
lāche	拉扯
láilu	来路
lànhu	烂糊
láokɑo	牢靠
lǎopo	老婆
lǎoshi	老实
lǎoye	老爷
léizhui	累赘
lěngqing	冷清
líbɑ	篱笆
lìhɑi	厉害
lìluo	利落
lìsuo	利索
liánpeng	莲蓬
liángkuɑi	凉快
liángshi	粮食
língdɑng	铃铛
língjiɑo	菱角
luòtuo	骆驼
máfɑn	麻烦
máli	麻利
mǎhu	马虎
màinong	卖弄
mánghu	忙乎
méigui	玫瑰
méimɑo	眉毛
ménlu	门路
ménmiɑn	门面
míhu	迷糊
mífeng	眯缝
mìshi	密实
miánhuɑ	棉花
miáotiɑo	苗条
míngtɑng	名堂
míngzi	名字
míngbɑi	明白
móhu	模糊
móceng	磨蹭
mógu	蘑菇
mǔdɑn	牡丹
mùjiɑng	木匠
nánwei	难为
nǎodɑi	脑袋
nàoteng	闹腾
néngnɑi	能耐
nìfɑn	腻烦
niáncheng	年成
niányue	年月
niánhu	黏糊
niàndɑo	念叨
niángjiɑ	娘家
niǔdɑ	扭搭
niǔnie	扭捏
núcɑi	奴才
nǚxu	女婿
nüèji	疟疾
nuǎnhuo	暖和
nuódong	挪动
pāidɑ	拍打
páilou	牌楼
pánchɑn	盘缠
pánsuɑn	盘算
pàozhɑng	炮仗
péngyou	朋友
píjiɑng	皮匠
píshi	皮实
pítɑ	疲塌
píqi	脾气
pìgu	屁股
piānfu	篇幅
piàoliɑng	漂亮
piělɑn	苤蓝
pójiɑ	婆家
pǒluo	笸箩
qīfu	欺负
qījiɑng	漆匠
qìxing	气性
qiánmiɑn	前面
qiàopi	俏皮
qìnggu	亲家
qīnqi	亲戚
qínkuɑi	勤快
qīngchu	清楚
qíngxing	情形
rèhuo	热和
rèhu	热乎
rènɑo	热闹
rènshi	认识
rènwu	任务
ruǎnhuo	软和
sǎtuo	洒脱
sàozhou	扫帚
sǎofūren	嫂夫人
shānlihóng	山里红
shānyɑo	山药
shàngbiɑn	上边
shàngmiɑn	上面
shàngniánji	上年纪
shàngsi	上司
shāobing	烧饼
shāomɑi	烧卖
sháoyɑo	芍药
shàoye	少爷
shēnfen	身分
shénfu	神甫
shēngfen	生分
shēngkou	牲口
shīshou	尸首
shīfu	师父
shīfu	师傅
shīye	师爷
shíliu	石榴
shíchen	时辰
shíhou	时候
shíduo	拾掇
shǐhuɑn	使唤
shìqing	事情
shìliyǎn	势利眼
shōucheng	收成
shōushi	收拾
shòushu	寿数
shūji	书记
shūbɑi	叔伯
shūhu	疏忽
shūfu	舒服
shūtɑn	舒坦
shúshi	熟识
shǔluo	数落
shuāidɑ	摔打
shuǎngkuɑi	爽快
shùndɑng	顺当
shuōhe	说合
shuōhe	说和
sīfɑng	私房
cìhou	伺候
sōngkuɑi	松快
súqi	俗气
sùjing	素净
suànji	算计
suíhe	随和
suìshu	岁数
tāshi	踏实
táiju	抬举
tàidu	态度
tǎndɑng	坦荡
tànkǒuqi	探口气
tàojìnhu	套近乎
tīteng	踢腾
dǐfɑng	提防
tìpen	嚏喷
tiānbu	添补
tiáozhou	笤帚
tíngdɑng	停当
tóufɑ	头发
tóumiɑn	头面
tùmo	吐沫
tuǒdɑng	妥当
tuòmo	唾沫
wàisheng	外甥
wǎnshɑng	晚上
wángbɑ	王八
wángye	王爷
wàngxing	忘性
wěibɑ	尾巴
wěiqu	委屈
wèizhi	位置
wèidɑo	味道
wěndɑng	稳当
wōnɑng	窝囊
wōpeng	窝棚
wùxing	悟性
xīhɑn	稀罕
xǐhuɑn	喜欢
xiāmi	虾米
xiàbɑ	下巴
xiàhu	吓唬
xiānsheng	先生
xiànggong	相公
xiàngsheng	相声
xiǎngdong	响动
xiāoxi	消息
xiǎomuzhǐ	小拇指
xiǎosuànpɑn	小算盘
xiàohuɑ	笑话
xiēxi	歇息
xīnsi	心思
xīnshui	薪水
hángdɑng	行当
xíngfāngbiɑn	行方便
hángjiɑ	行家
xíngli	行李
xiūxi	休息
xiùcɑi	秀才
chùsheng	畜生
xùfɑn	絮烦
xuánhu	玄乎
xuéwen	学问
yáchen	牙碜
yákou	牙口
yámen	衙门
yǎbɑ	哑巴
yǎzhi	雅致
yāntong	烟筒
yānzhi	胭脂
yánshi	严实
yánwɑng	阎王
yǎnjing	眼睛
yàntɑi	砚台
yānggɑo	央告
yāngge	秧歌
yǎnghuo	养活
yǎngyɑng	痒痒
yāohe	吆喝
yāojing	妖精
yàoshi	要是
yīfu	衣服
yīshɑng	衣裳
yífu	姨夫
yǐjing	已经
yìsi	意思
yìngchou	应酬
yìnglɑng	硬朗
yuānwɑng	冤枉
yuēmo	约莫
yuèbing	月饼
yuèliɑng	月亮
yuèqiɑn	月钱
yàoshi	钥匙
yúncɑi	云彩
yúnliu	匀溜
yúnshi	匀实
zásui	杂碎
zàibu	再不
zàihu	在乎
zǎochen	早晨
zǎoshɑng	早上
zhāhu	咋呼
zhāshi	扎实
zhàhu	诈唬
zhàlɑn	栅栏
zhāngluo	张罗
zhàngmu	丈母
zhàngpeng	帐篷
zhāohu	招呼
zhāopɑi	招牌
zhǎobu	找补
zhēteng	折腾
zhēnjiɑo	针脚
zhīmɑ	芝麻
zhīshi	知识
zhíliu	直溜
zhǐjiɑ	指甲
zhǔyi	主意
shǔxiɑng	属相
zhuànyou	转悠
zhuāngjiɑ	庄稼
zhuàngshi	壮实
zhuàngyuɑn	状元
zìhɑo	字号
zǔzong	祖宗
zuǐbɑ	嘴巴
zuōfɑng	作坊
zuòzuo	做作
bǎzi/bàzi	把子
bōzhòng/bōzhǒng	播种
dàifu/dàfū	大夫
dāngnián/dàngnián	当年
dāngrì/dàngrì	当日
dāngshí/dàngshí	当时
dāngwǎn/dàngwǎn	当晚
dàochē/dǎochē	倒车
dàoshǔ/dàoshù	倒数
dàozhuàn	倒转
déle/déliǎo	得了
dēngchǎng/dēngcháng	登场
diàopèi/tiáopèi	调配
dùzi/dǔzi	肚子
fēnzǐ/fènzǐ	分子
gānzi/gǎnzi	杆子
gànjiàng/gānjiāng	干将
gòngyǎng/gōngyǎng	供养
hǎoshì/hàoshì	好事
jiàoxué/jiāoxué	教学
jiéguǒ/jiēguǒ	结果
jǐnliàng/jìnliàng	尽量
piānzi/piànzi	片子
piányi/biànyí	便宜
qīngdào/qīngdǎo	倾倒
shòulèi/shòulěi	受累
tóngháng/tóngxíng	同行
wēnhé/wēnhuo	温和
yīhuàng	一晃
yìngshēng/yīngshēng	应声
zhāoyáng/cháoyáng	朝阳
zhèngdāng/zhèngdàng	正当
zhuàndòng/zhuǎndòng	转动
zhuǎnxiàng/zhuànxiàng	转向
zuómo/zhuómó	琢磨
bādā/bādɑ	吧嗒
bàdào/bàdɑo	霸道
bǎishè/bǎishe	摆设
bāngshou	帮手
bāobiǎn/bāobiɑn	褒贬
běnshi/běnshì	本事
biérén/biéren	别人
cáifeng/cáiféng	裁缝
chāishǐ	差使
chōudǎ/chōudɑ	抽打
dǎshou	打手
dàfɑng/dàfāng	大方
dàrén/dàren	大人
dàshīfu/dàshifu	大师傅
dàye/dàyé	大爷
dàyi/dàyì	大意
déxíng/déxing	德行
dīdā/dīdɑ	滴答
dìdào/dìdɑo	地道
dìfāng/dìfɑng	地方
dìxià/dìxiɑ	地下
dōngxī/dōngxi	东西
duānxiáng/duānxiɑng	端详
duìtóu/duìtou	对头
duōshǎo/duōshɑo	多少
fāsòng/fāsong	发送
fǎnzhèng	反正
fāngzhɑng/fāngzhàng	方丈
fèiwù/fèiwu	废物
gābā/gābɑ	嘎巴
gàosu/gàosù	告诉
géduàn	隔断
gēnqián/gēnqiɑn	跟前
gōngdào/gōngdɑo	公道
gùshi/gùshì	故事
guādā/guādɑ	呱嗒
guāiguāi/guāiguɑi	乖乖
guàncháng	灌肠
guònián/guòniɑn	过年
guòqù/guòqu	过去
héjì/héji	合计
hūlu/hūlū	呼噜
huāfèi/huāfei	花费
huáliu	滑溜
jīngxǐng	惊醒
jīngshén/jīngshen	精神
kāitōng/kāitong	开通
kǒuyīn	口音
kútóu	苦头
láiwǎng	来往
láodòng/láodong	劳动
lěngzhàn/lěngzhɑn	冷战
lihài/lìhɑi	利害
lìzǐ/lìzi	粒子
mǎimɑi	买卖
mánghuo	忙活
méimù/méimu	眉目
méndɑo/méndào	门道
nánrén/nánren	男人
nánchǔ	难处
nǚrén/nǚren	女人
pèihé/pèihe	配合
pūdǎ/pūdɑ	扑打
pūgài/pūgɑi	铺盖
pūtēng/pūteng	扑腾
qǐhuǒ/qǐhuo	起火
qīzi/qīzǐ	妻子
qiānjīn/qiānjin	千斤
qiāngshǒu	枪手
rénjiɑ/rénjiā	人家
rényì/rényi	仁义
ròushí	肉食
sàngqì/sàngqi	丧气
shàngtou/shàngtóu	上头
shāoguō	烧锅
shēngyi/shēngyì	生意
shízài/shízɑi	实在
shìgù/shìgu	世故
shòuyòng/shòuyong	受用
shuōdào/shuōdɑo	说道
shuōfǎ	说法
síwen/sīwén	斯文
sōngsǎn/sōngsɑn	松散
tèwù/tèwu	特务
tòuliɑng	透亮
tǔdì/Tǔdi	土地
wàidào/wàidɑo	外道
wàimiàn	外面
wénqì/wénqi	文气
xiàchǎng	下场
xiàshuǐ/xiàshui	下水
xiàzǐ/xiàzi	下子
xiǎngfǎ	想法
xiǎozi/xiǎozǐ	小子
xiéxíng/xiéxing	邪行
xíngfǎ/xíngfɑ	刑法
xīngxing/xīngxīng	星星
xiōngdì/xiōngdi	兄弟
xuéshēng	学生
yānhuǒ/yānhuo	烟火
yánsè/yánshɑi	颜色
yányǔ/yámyu	言语
yíngshēng/yíngsheng	营生
yùndòng/yùndong	运动
yùnqi/yùnqì	运气
yòngrén/yòngren	用人
yóuzǐ/yóuzi	游子
zàohuà/zàohuɑ	造化
zàozuo	造作
zhàngfu/zhàngfū	丈夫
zhànqren/zhàngrén	丈人
zhàoyìng/zhàoying	照应
zhēnyǎn	针眼
zhèngjing/zhèngjīng	正经
zhōngtáng	中堂
zìrán/zìrɑn	自然
zìzài/zìzɑi	自在
ābādān	阿巴丹
ābādǎo	阿巴岛
ābāsīnuòtè	阿巴思诺特
ābāsīgǎng	阿巴斯港
ābāyīdá	阿巴伊达
ābà	阿爸
ābānkǎi	阿班凯
ābǎo	阿宝
ābǐgàiěr	阿比盖尔
ābǐlínshì	阿比林市
ābǐrànggǎng	阿比让港
ābǐràngshì	阿比让市
ābǐxīníyà	阿比西尼亚
ābǐng	阿炳
ābōluó	阿波罗
ābó	阿伯
ābǔdálǐ	阿卜达里
ābùdísī	阿布迪斯
ābùhāzī	阿布哈兹
ābùsuǒlún	阿布索伦
ābùzhābǐ	阿布扎比
āchāngzú	阿昌族
ādánàshì	阿达纳市
ādàofúsī	阿道弗斯
ādéláidé	阿德来德
ādéláidé	阿德莱德
ādídásī	阿迪达斯
ādíshēng	阿迪生
ādísī	阿迪斯
ādì	阿弟
ādìjiāsī	阿蒂加斯
ādiē	阿爹
ādòu	阿斗
āěrāěr	阿尔阿尔
āěrbāníyà	阿尔巴尼亚
āěrbàihèléi	阿尔拜赫雷
āěrbēisī	阿尔卑斯
āěrbēisīshān	阿尔卑斯山
āěrbèidé	阿尔贝德
āěrbǐnà	阿尔比纳
āěrdábǐlè	阿尔达比勒
āěrdīngdōng	阿尔丁东
āěrfǎzhèn	阿尔法镇
āěrfúléidé	阿尔弗雷德
āěrgāndé	阿尔甘德
āěrjíěr	阿尔及尔
āěrjílìyà	阿尔及利亚
āěrkǎtè	阿尔卡特
āěrkèwēn	阿尔克温
āěrluò	阿尔洛
āěrmǎwéiěr	阿尔马维尔
āěrmǎ	阿尔玛
āěrméilè	阿尔梅勒
āěrsàsī	阿尔萨斯
āěrshān	阿尔山
āěrsītè	阿尔斯特
āěrtàikè	阿尔泰克
āěrtàishān	阿尔泰山
āěrtàishěng	阿尔泰省
āěrtèdàofū	阿尔特道夫
āěrtuōgǎng	阿尔托港
āpánggōng	阿房宫
āfēi	阿飞
āfēilìjiā	阿非利加
āfúlèěr	阿芙乐尔
ēfù	阿附
āfùhàn	阿富汗
āgē	阿哥
āgénísī	阿格尼丝
āgēntíng	阿根廷
āgēntíngduì	阿根廷队
āgēntínghú	阿根廷湖
āgōng	阿公
āgǔsītǎ	阿古斯塔
āhōng	阿訇
ājīmǐdé	阿基米德
ājiādézī	阿加德兹
ājiādíěr	阿加迪尔
ājiāěrtǎlā	阿加尔塔拉
ājiāníyà	阿加尼亚
ājiāshā	阿加莎
ējiāo	阿胶
ājiě	阿姐
ākǎdíjiā	阿卡迪加
ākǎdíyà	阿卡迪亚
ākēsōngbó	阿科松博
ākèdémǐ	阿克德米
ākèlā	阿克拉
ākèlàitè	阿克赖特
ākèléiyī	阿克雷伊
ākèmàn	阿克曼
ākèmòlā	阿克莫拉
ākèrútè	阿克茹特
ākèsū	阿克苏
ākètáoxiàn	阿克陶县
ālā	阿拉
ālābèilā	阿拉贝拉
ālābó	阿拉伯
ālābórén	阿拉伯人
ālābóshì	阿拉伯式
ālābóshùmǎ	阿拉伯数码
ālābóshùzì	阿拉伯数字
ālābóyǔ	阿拉伯语
ālādéshì	阿拉德市
ālāfǎtè	阿拉法特
ālāmùtú	阿拉木图
ālānígē	阿拉尼哥
ālāsījiā	阿拉斯加
ālāsījiāzhōu	阿拉斯加州
āláigé	阿莱格
āláimàn	阿莱曼
āláiníyà	阿莱尼亚
ālègēnní	阿勒根尼
ālètài	阿勒泰
āléigélǐgǎng	阿雷格里港
āléijīpà	阿雷基帕
ālì	阿莉
ālǐbābā	阿里巴巴
ālǐhé	阿里河
ālǐshān	阿里山
ālǐsīdùn	阿里斯顿
ālǐsīduōdé	阿里斯多德
ālǐtènà	阿里特纳
ālǐyànà	阿里亚娜
ālìyànà	阿丽亚娜
ālìtúsī	阿利图斯
āliánqiú	阿联酋
ālíngdùnxiàn	阿灵顿县
ālǔbādǎo	阿鲁巴岛
ālǔshāshěng	阿鲁沙省
ālúndáěr	阿伦达尔
āmā	阿妈
āmǎduōlā	阿马多拉
āmǎ	阿玛
āmǎbèiěr	阿玛贝尔
āmàn	阿曼
āmànlǐyàěr	阿曼里亚尔
āmànwān	阿曼湾
āmāoāgǒu	阿猫阿狗
āměilìjiā	阿美利加
āmèi	阿妹
āmén	阿门
āméng	阿盟
ēmítuófó	阿弥陀佛
āmǐbā	阿米巴
āmǐlìyà	阿米莉亚
āmóníyà	阿摩尼亚
āmòxīlín	阿莫西林
āmòsītè	阿默斯特
āmǔ	阿母
āmǔhālā	阿姆哈拉
āmǔhé	阿姆河
āmǔsītèdān	阿姆斯特丹
āmǔsītèlǎng	阿姆斯特朗
āmùěrhé	阿穆尔河
āmùěrzhōu	阿穆尔州
ānàdéěr	阿纳德尔
ānàduōlú	阿纳多卢
ānān	阿囡
āpéngcèěr	阿彭策尔
āpiàn	阿片
āpó	阿婆
āpǔlǐěr	阿普里尔
āqíbóěrdé	阿奇博尔德
āsāibàijiāng	阿塞拜疆
āsǎo	阿嫂
āsègǎng	阿瑟港
āsēnsōngdǎo	阿森松岛
āshěn	阿婶
āshīmǎ	阿诗玛
āshéntǎlākè	阿什塔拉克
āshìxué	阿是穴
āsīpǐlín	阿司匹林
āsīmǎlā	阿斯马拉
āsīpǐlín	阿斯匹林
āsītǎnà	阿斯塔纳
āsītèlā	阿斯特拉
āsītèlāhǎn	阿斯特拉罕
āsītèlìdé	阿斯特丽德
āsuǒgésī	阿索格斯
ātèjīnsī	阿特金斯
ātèlāsī	阿特拉斯
ātì	阿嚏
ātuōpǐn	阿托品
āwǎchápān	阿瓦查潘
āwǎlāshān	阿瓦拉山
āwǎtíxiàn	阿瓦提县
āwàndáluó	阿万达罗
āwéixīào	阿维西奥
āwéiyànuò	阿维亚诺
āwéntísī	阿文提斯
āyàgǔzī	阿亚古兹
āyàkùqiáo	阿亚库乔
āyàkùqiáogǎng	阿亚库乔港
āyīmǎlā	阿伊马拉
āyītísī	阿依提斯
āyí	阿姨
ēyú	阿谀
ēyúféngyíng	阿谀逢迎
ēyúfèngchéng	阿谀奉承
āyuèhúnzǐ	阿月浑子
āzhāníyà	阿扎尼亚
āzhìmàn	阿治曼
āzīluómǔ	阿兹罗姆
āzītèkè	阿兹特克
āyɑ	啊呀
āyō	啊哟
āiyɑ	哎呀
āibīngbìshèng	哀兵必胜
āidào	哀悼
āiérbùshāng	哀而不伤
āigǎnwányàn	哀感顽艳
āiháo	哀号
āihóngbiànyě	哀鸿遍野
āihuǐgǔlì	哀毁骨立
āijiào	哀叫
āiyuè/āilè	哀乐
āimòdàyúxīnsǐ	哀莫大于心死
āiqiú	哀求
āishāng	哀伤
āisī	哀思
āitàn	哀叹
āiyuàn	哀怨
āishēng	唉声
āishēngtànqì	唉声叹气
āiyɑ	唉呀
āidéméngdùn	埃德蒙顿
āidíkǎlā	埃迪卡拉
āiěrbǐlè	埃尔比勒
āiěrbótè	埃尔伯特
āiěrfēnsītōng	埃尔芬斯通
āiěrhātè	埃尔哈特
āifūlātè	埃夫拉特
āikèsāitè	埃克塞特
āikèsītè	埃克斯特
āilātèwān	埃拉特湾
āilǐkèshì	埃里克市
āimòxīyuē	埃莫西约
āiqíwòsī	埃奇沃思
āisāiébǐyà	埃塞俄比亚
āisīlǐqí	埃思里奇
āisīméngdé	埃斯蒙德
āisōngshěng	埃松省
āicì	挨次
áidǎ	挨打
áidòng	挨冻
áidòu	挨斗
áiè	挨饿
āifá	挨罚
āigè	挨个
āihù	挨户
áijǐ	挨挤
āijiā	挨家
āijiāāihù	挨家挨户
āijiān	挨肩
āijìn	挨近
āikào	挨靠
áimà	挨骂
āimén	挨门
āiménāihù	挨门挨户
áipī	挨批
áizhěng	挨整
āizhe	挨着
áizòu	挨揍
áikuòsàn	癌扩散
áizhèng	癌症
ǎiǎide	矮矮的
ǎixiǎo	矮小
àibǐgàiěr	艾比盖尔
àibókèlóngbǐ	艾伯克龙比
àiěrshādé	艾尔沙德
àifóláitè	艾佛莱特
àihāmàidí	艾哈迈迪
àisīlíngdùn	艾斯灵顿
àizībìng	艾滋病
àibùshìshǒu	爱不释手
àicáirúmìng	爱财如命
àichēng	爱称
àidáhézhōu	爱达荷州
àidài	爱戴
àidīngbǎo	爱丁堡
àiěrsāikè	爱尔塞克
àiěrsībólǐ	爱尔斯伯里
àifǔ	爱抚
àiguó	爱国
àiguóhuì	爱国会
àiguórèqíng	爱国热情
àiguórénshì	爱国人士
àiguówèishēngyùndòng	爱国卫生运动
àiguóxīn	爱国心
àiguózhě	爱国者
àiguózhǔyì	爱国主义
àihào	爱好
àihàozhě	爱好者
àihù	爱护
àijiāng	爱将
àikèsīguāng	爱克斯光
àikèsīshèxiàn	爱克斯射线
àilìshěgōng	爱丽舍宫
àiměi	爱美
àimín	爱民
àimònéngzhù	爱莫能助
àimù	爱慕
àiqī	爱妻
àiqiánrúmìng	爱钱如命
àiqíng	爱情
àirénmín	爱人民
àishāníyà	爱沙尼亚
àiwěihuì	爱委会
àiwèihuì	爱卫会
àiwūjíwū	爱屋及乌
àixī	爱惜
àizēng	爱憎
àizēngfēnmíng	爱憎分明
àinán	碍难
àishǒuàijiǎo	碍手碍脚
àimèi	暧昧
àimèiguānxi	暧昧关系
ānānjìngjìng	安安静静
ānānwěnwěn	安安稳稳
ānbāngdìngguó	安邦定国
ānbùwàngwēi	安不忘危
ānbùdàngchē	安步当车
āndàlüè	安大略
āndélābāng	安得拉邦
āndíméixièkè	安迪梅谢克
āndìng	安定
āndìngtuánjié	安定团结
āndù	安度
āndùn	安顿
ānfàng	安放
ānfèn	安分
ānfènshǒujǐ	安分守己
ānfǔ	安抚
āngēlā	安哥拉
ānhǎo	安好
Ānhuī	安徽
Ānhuī Dàxué	安徽大学
Ānhuījiàoyùchūbǎnshè	安徽教育出版社
Ānhuī Shěng	安徽省
ānhúnqǔ	安魂曲
Ānjiālāhé	安加拉河
ānjiā	安家
ānjiāfèi	安家费
ānjiālìyè	安家立业
ānjiāluòhù	安家落户
ānjìng	安静
ānjū	安居
ānjūlèyè	安居乐业
ānkǎlā	安卡拉
ānkāng	安康
ānkèléiqí	安克雷奇
ānlè	安乐
ānlèsǐ	安乐死
ānlèwō	安乐窝
ānlèyǐ	安乐椅
ānlǐhuì	安理会
ānméng	安盟
ānmì	安谧
ānmín	安民
ānmíngàoshì	安民告示
